Node,Type,Provider,Service Tier
DNS Service,Functional,,
DDoS Protection Layer,Functional,,
CDN Edge,Functional,,
Global Load Balancer,Functional,,
API Gateway,Functional,,
Auth Service,Functional,,
Epic Account Service,Functional,,
Session Token Store,Functional,,
OAuth Provider,Functional,,
Matchmaking Service,Functional,,
Lobby Service,Functional,,
Game Server NA,Functional,,
Game Server EU,Functional,,
Game Server AP,Functional,,
Game Server BR,Functional,,
Creative Mode Server,Functional,,
Game State Manager,Functional,,
Anti-Cheat Service,Functional,,
Player Stats Service,Functional,,
Player Profile Service,Functional,,
Friends Service,Functional,,
Presence Service,Functional,,
Squad Service,Functional,,
Chat Service,Functional,,
Voice Chat Service,Functional,,
Notification Service,Functional,,
Player Report Service,Functional,,
Item Shop Service,Functional,,
V-Bucks Service,Functional,,
Payment Gateway,Functional,,
Battle Pass Service,Functional,,
Inventory Service,Functional,,
Cosmetics Service,Functional,,
Achievement Service,Functional,,
Cloud Save Service,Functional,,
Live Events Service,Functional,,
Content Delivery Service,Functional,,
Asset Service,Functional,,
Game Update Service,Functional,,
Tournament Service,Functional,,
Leaderboard Service,Functional,,
Moderation Service,Functional,,
Replay Service,Functional,,
Telemetry Collector,Functional,,
Analytics Pipeline,Functional,,
Event Bus,Functional,,
Log Aggregation,Functional,,
Monitoring Service,Functional,,
Incident Alert Service,Functional,,
Config Service,Functional,,
Feature Flags,Functional,,
Secret Management,Functional,,
AWS Route 53,Provider,AWS Networking & Edge,Route 53 (Standard)
AWS CloudFront,Provider,AWS Networking & Edge,CloudFront CDN
AWS Global Accelerator,Provider,AWS Networking & Edge,AWS Global Accelerator
AWS ALB,Provider,AWS Networking & Edge,Application Load Balancer
AWS NLB,Provider,AWS Networking & Edge,Network Load Balancer
AWS WAF,Provider,AWS Security,WAF (Managed Rules)
AWS Shield Advanced,Provider,AWS Security,Shield Advanced
AWS Secrets Manager,Provider,AWS Security,Secrets Manager
AWS Compute Services,Provider,AWS Compute,ECS/EKS (Fargate multi-AZ)
AWS EC2 Game Fleet,Provider,AWS Compute,EC2 Auto Scaling Group (multi-AZ)
AWS DynamoDB Global,Provider,AWS Database,DynamoDB Global Tables
AWS Aurora Global,Provider,AWS Database,Aurora Global Database
AWS ElastiCache Cluster,Provider,AWS Database,ElastiCache (cluster mode)
AWS MemoryDB Multi-Region,Provider,AWS Database,MemoryDB for Redis (multi-region)
AWS S3 Storage,Provider,AWS Storage,S3 Standard
AWS Kinesis Stream,Provider,AWS Messaging & Queuing,Kinesis (multi-shard enhanced fanout)
AWS MSK Kafka,Provider,AWS Messaging & Queuing,MSK (Managed Kafka multi-AZ)
AWS EventBridge,Provider,AWS Messaging & Queuing,EventBridge
AWS SQS,Provider,AWS Messaging & Queuing,SQS Standard
AWS CloudWatch,Provider,AWS Observability,CloudWatch (Container Insights)
AWS OpenSearch,Provider,AWS Observability,OpenSearch (multi-AZ with standby)
Datadog Enterprise,Provider,Datadog,Enterprise
PagerDuty,Provider,PagerDuty,Incident Management
Stripe Payments,Provider,Stripe,Payment Processing
Cloudflare Enterprise,Provider,Cloudflare,Enterprise
