Type,From,To
Dependency,DDoS Protection Layer,DNS Service
Dependency,Global Load Balancer,DDoS Protection Layer
Dependency,CDN Edge,DDoS Protection Layer
Dependency,API Gateway,Global Load Balancer
Dependency,API Gateway,Auth Service
Dependency,API Gateway,Matchmaking Service
Dependency,API Gateway,Player Profile Service
Dependency,API Gateway,Item Shop Service
Dependency,API Gateway,Friends Service
Dependency,API Gateway,Tournament Service
Dependency,Auth Service,Epic Account Service
Dependency,Auth Service,Session Token Store
Dependency,Auth Service,Secret Management
Dependency,OAuth Provider,Auth Service
Dependency,Matchmaking Service,Auth Service
Dependency,Matchmaking Service,Player Profile Service
Dependency,Matchmaking Service,Player Stats Service
Dependency,Matchmaking Service,Lobby Service
Dependency,Matchmaking Service,Event Bus
Dependency,Lobby Service,Game Server NA
Dependency,Lobby Service,Game Server EU
Dependency,Lobby Service,Game Server AP
Dependency,Lobby Service,Game Server BR
Dependency,Lobby Service,Creative Mode Server
Dependency,Lobby Service,Squad Service
Dependency,Game Server NA,Game State Manager
Dependency,Game Server NA,Anti-Cheat Service
Dependency,Game State Manager,Replay Service
Dependency,Game State Manager,Player Stats Service
Dependency,Epic Account Service,Player Profile Service
Dependency,Player Profile Service,Friends Service
Dependency,Player Profile Service,Achievement Service
Dependency,Player Profile Service,Cloud Save Service
Dependency,Friends Service,Presence Service
Dependency,Chat Service,Lobby Service
Dependency,Notification Service,Event Bus
Dependency,Player Report Service,Moderation Service
Dependency,Item Shop Service,Cosmetics Service
Dependency,Item Shop Service,Player Profile Service
Dependency,V-Bucks Service,Item Shop Service
Dependency,Battle Pass Service,Inventory Service
Dependency,Battle Pass Service,Player Profile Service
Dependency,Cosmetics Service,Inventory Service
Dependency,Payment Gateway,V-Bucks Service
Dependency,Payment Gateway,Secret Management
Dependency,Live Events Service,Lobby Service
Dependency,Content Delivery Service,Asset Service
Dependency,Asset Service,CDN Edge
Dependency,Game Update Service,Content Delivery Service
Dependency,Tournament Service,Matchmaking Service
Dependency,Leaderboard Service,Player Stats Service
Dependency,Telemetry Collector,Game Server NA
Dependency,Analytics Pipeline,Telemetry Collector
Dependency,Log Aggregation,Telemetry Collector
Dependency,Monitoring Service,Log Aggregation
Dependency,Incident Alert Service,Monitoring Service
Dependency,Feature Flags,Config Service
Hosted-on,DNS Service,AWS Route 53
Hosted-on,DDoS Protection Layer,AWS Shield Standard
Hosted-on,CDN Edge,AWS CloudFront
Hosted-on,Global Load Balancer,AWS ALB
Hosted-on,API Gateway,AWS ALB
Hosted-on,API Gateway,AWS WAF
Hosted-on,API Gateway,AWS Compute Services
Hosted-on,Auth Service,AWS Compute Services
Hosted-on,Epic Account Service,AWS Compute Services
Hosted-on,Epic Account Service,AWS DynamoDB
Hosted-on,Session Token Store,AWS MemoryDB Single Region
Hosted-on,OAuth Provider,AWS Compute Services
Hosted-on,Matchmaking Service,AWS Compute Services
Hosted-on,Matchmaking Service,AWS ElastiCache Single Node
Hosted-on,Lobby Service,AWS Compute Services
Hosted-on,Game Server NA,AWS EC2 Game Fleet
Hosted-on,Game Server EU,AWS EC2 Game Fleet
Hosted-on,Game Server AP,AWS EC2 Game Fleet
Hosted-on,Game Server BR,AWS EC2 Game Fleet
Hosted-on,Creative Mode Server,AWS EC2 Game Fleet
Hosted-on,Game State Manager,AWS MemoryDB Single Region
Hosted-on,Game State Manager,AWS ElastiCache Single Node
Hosted-on,Anti-Cheat Service,AWS Compute Services
Hosted-on,Player Profile Service,AWS DynamoDB
Hosted-on,Player Profile Service,AWS Compute Services
Hosted-on,Friends Service,AWS DynamoDB
Hosted-on,Friends Service,AWS Compute Services
Hosted-on,Presence Service,AWS MemoryDB Single Region
Hosted-on,Squad Service,AWS Compute Services
Hosted-on,Chat Service,AWS Compute Services
Hosted-on,Voice Chat Service,AWS EC2 Game Fleet
Hosted-on,Notification Service,AWS SQS
Hosted-on,Notification Service,AWS Compute Services
Hosted-on,Player Report Service,AWS Compute Services
Hosted-on,Item Shop Service,AWS Compute Services
Hosted-on,Item Shop Service,AWS Aurora Single Region
Hosted-on,V-Bucks Service,AWS Compute Services
Hosted-on,V-Bucks Service,AWS Aurora Single Region
Hosted-on,Payment Gateway,AWS Compute Services
Hosted-on,Payment Gateway,Stripe Payments
Hosted-on,Battle Pass Service,AWS Compute Services
Hosted-on,Battle Pass Service,AWS DynamoDB
Hosted-on,Inventory Service,AWS DynamoDB
Hosted-on,Inventory Service,AWS Compute Services
