Type,From,To
Hosted-on,Game Server NA,Valve Servers
Hosted-on,Game Server EU,Valve Servers
Hosted-on,Game Server AP,Valve Servers
Hosted-on,Game Server SA,Valve Servers
Hosted-on,Game Coordinator,Valve Servers
Hosted-on,Load Balancer,Steam SDR
Hosted-on,Game Coordinator,Steam SDR
Hosted-on,CDN Network,Akamai
Hosted-on,Content Delivery Service,Akamai
Hosted-on,Patch Distribution Service,Akamai
Hosted-on,Steam Auth Service,AWS Compute
Hosted-on,Steam Account Service,AWS Compute
Hosted-on,Session Manager,AWS Compute
Hosted-on,Player Profile Service,AWS Compute
Hosted-on,Inventory Service,AWS Compute
Hosted-on,Matchmaking Service,AWS Compute
Hosted-on,Party Service,AWS Compute
Hosted-on,Friends Service,AWS Compute
Hosted-on,Game State Service,AWS Compute
Hosted-on,Match History Service,AWS Compute
Hosted-on,Premier Rank Service,AWS Compute
Hosted-on,VAC Service,AWS Compute
Hosted-on,Overwatch Service,AWS Compute
Hosted-on,Workshop Service,AWS Compute
Hosted-on,Steam Market Service,AWS Compute
Hosted-on,Item Trading Service,AWS Compute
Hosted-on,Store Service,AWS Compute
Hosted-on,Payment Gateway,AWS Compute
Hosted-on,Notification Service,AWS Compute
Hosted-on,Chat Service,AWS Compute
Hosted-on,Voice Chat Service,AWS Compute
Hosted-on,Analytics Pipeline,AWS Compute
Hosted-on,Telemetry Collector,AWS Compute
Hosted-on,Monitoring Service,AWS Compute
Hosted-on,Incident Alert Service,AWS Compute
Hosted-on,Config Service,AWS Compute
Hosted-on,Service Discovery,AWS Compute
Hosted-on,Community Server Hub,AWS Compute
Hosted-on,Map Service,AWS Compute
Hosted-on,Match Replay Service,AWS Compute
Hosted-on,Leaderboard Service,AWS Compute
Hosted-on,Player Stats Service,AWS Compute
Hosted-on,Skin Inspect Service,AWS Compute
Hosted-on,Operation Pass Service,AWS Compute
Hosted-on,Trust Factor Service,AWS Compute
Hosted-on,Report Service,AWS Compute
Hosted-on,Player Profile Service,Azure Player DB
Hosted-on,Steam Account Service,Azure Player DB
Hosted-on,Friends Service,Azure Player DB
Hosted-on,Inventory Service,Azure Player DB
Hosted-on,Match History Service,AWS Stats DB
Hosted-on,Premier Rank Service,AWS Stats DB
Hosted-on,Leaderboard Service,AWS Stats DB
Hosted-on,Session Manager,AWS Cache
Hosted-on,Matchmaking Service,AWS Cache
Hosted-on,Trust Factor Service,AWS Cache
Hosted-on,DDoS Protection,AWS DDoS Shield
Hosted-on,API Gateway,AWS DDoS Shield
Hosted-on,CDN Network,AWS CDN
Hosted-on,Content Delivery Service,AWS CDN
