Node,Type,Provider,Service Tier
Riot Direct Network,Functional,,
Valorant Client,Functional,,
Riot Sign On (RSO),Functional,,
Vanguard Anti-Cheat Service,Functional,,
Riot Client Launcher,Functional,,
Matchmaking Service,Functional,,
Party Service,Functional,,
Game Server Manager,Functional,,
Game Server NA-1,Functional,,
Global Load Balancer,Functional,,
Chat Service,Functional,,
Voice Service,Functional,,
Player Profile Service,Functional,,
Competitive Rank Service,Functional,,
Leaderboard Service,Functional,,
Store Service,Functional,,
Inventory Service,Functional,,
Battle Pass Service,Functional,,
Patch Distribution Service,Functional,,
Anti-Cheat Telemetry,Functional,,
Event Bus,Functional,,
Analytics Ingestion,Functional,,
Player Telemetry Aggregator,Functional,,
Configuration Service,Functional,,
DDoS Mitigation Layer,Functional,,
API Gateway,Functional,,
Social Graph Service,Functional,,
Friends Service,Functional,,
Presence Service,Functional,,
Session Cache,Functional,,
Notification Service,Functional,,
Monitoring & Alerting,Functional,,
Secret Management Service,Functional,,
Riot BGP Network,Provider,Riot Network,Riot Direct BGP
AWS Compute NA,Provider,AWS Compute,EC2 Auto Scaling Group (multi-AZ)
AWS GameLift Single,Provider,Amazon GameLift,GameLift (single region)
AWS RDS Player DB,Provider,AWS Database,RDS Multi-AZ (Standby)
AWS RDS Match DB,Provider,AWS Database,RDS Single-AZ (any engine)
AWS ElastiCache,Provider,AWS Database,ElastiCache (single node)
AWS CloudFront,Provider,AWS Networking & Edge,CloudFront CDN
AWS NLB,Provider,AWS Networking & Edge,Network Load Balancer
AWS Route 53,Provider,AWS Networking & Edge,Route 53 (Standard)
AWS Kinesis Single,Provider,AWS Messaging & Queuing,Kinesis (1 shard)
AWS MSK Single,Provider,AWS Messaging & Queuing,MSK (Managed Kafka single-AZ)
AWS S3 Assets,Provider,AWS Storage,S3 Standard
AWS Shield Standard,Provider,AWS Security,Shield Standard
AWS Secrets Manager,Provider,AWS Security,Secrets Manager
AWS CloudWatch Standard,Provider,AWS Observability,CloudWatch (standard)
Cloudflare Pro,Provider,Cloudflare,Pro
