Node,Type, Service Tier
League Client,Functional,
Riot Direct,Functional,
RiotSignOn,Functional,
DNS Service,Functional,
CDN Service,Functional,
Game Patcher,Functional,
Matchmaking Service,Functional,
Game Server Orchestrator,Functional,
Game Server NA,Functional,
Game Server EUW,Functional,
Game Server APAC,Functional,
Chat Service,Functional,
Riot Messaging Service,Functional,
Player Profile Service,Functional,
Loot Service,Functional,
Store Service,Functional,
Inventory Service,Functional,
Anti-cheat Service,Functional,
Leaderboard Service,Functional,
Statistics Service,Functional,
Replay Service,Functional,
Spectator Service,Functional,
Social Graph Service,Functional,
Notification Service,Functional,
Asset Storage,Functional,
Game Data Service,Functional,
Mastery Service,Functional,
Champion Service,Functional,
Analytics Service,Functional,
Monitoring Service,Functional,
API Gateway,Functional,
Data Pipeline,Functional,
Cache Layer,Functional,
Session Store,Functional,
Configuration Service,Functional,
Summoner Service,Functional,
Event Service,Functional,
Container Orchestration,Functional,
Logging Service,Functional,
Feature Flag Service,Functional,
Player Behavior Service,Functional,
Ranked Service,Functional,
Payment Service,Functional,
Tournament Service,Functional,
Champion Select Service,Functional,
Clan Service,Functional,
Achievement Service,Functional,
Player Support Service,Functional,
Chat Persistence Store,Functional,
Auth Token Cache,Functional,
VPN Gateway,Functional,
AWS Compute,Provider, ECS/EKS (EC2-backed multi-AZ)
AWS Database,Provider, Aurora Global Database
AWS ElastiCache,Provider, ElastiCache (cluster mode)
AWS DynamoDB,Provider, DynamoDB Global Tables
AWS Networking & Edge,Provider, AWS Global Accelerator
AWS ALB,Provider, Application Load Balancer
AWS CloudFront,Provider, CloudFront CDN
AWS Route 53,Provider, Route 53 (Standard)
AWS API Gateway,Provider, API Gateway (Regional)
AWS Messaging & Queuing,Provider, MSK (Managed Kafka multi-AZ)
AWS SQS,Provider, SQS Standard
AWS Kinesis,Provider, Kinesis (multi-shard enhanced fanout)
Cloudflare,Provider, Enterprise
Riot Network,Provider,
AWS S3,Provider,
AWS Outposts,Provider,
